id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;KT winstbepaling: p vs GK → winst of verlies;Bedrijf in volkomen concurrentie: p = 30, Q* = 10 (bij MK=p), TK = 240. Is er winst of verlies?;Bereken TR;TR = p × Q = 30 × 10 = 300;TR = 30\times10=300;Bereken winst/verlies;Winst = TR - TK = 300 - 240 = 60;\pi = TR-TK = 60;Vergelijk p met GK;GK = TK/Q = 240/10 = 24 < p = 30 → winst per eenheid = 6;GK=24 < p=30;Winst = p × Q (= omzet);"Omzet is niet de winst; winst = TR - TK";;Verlies want TK > 0;"TK > 0 betekent niet per se verlies; vergelijk TR met TK";;Winst = MK × Q;"MK × Q is niet de winst; winst = (p - GK) × Q";;Wat is de totale opbrengst?;Hoe bereken je de winst?;Wat zegt p vs. GK over de winst per eenheid?;Wat zijn de marginale kosten?;Wat is de marktprijs bij volkomen concurrentie?;2;Winst = TR - VK (vergeet FK);"Als VK = 180 en FK = 60: TR - VK = 120 ≠ echte winst; winst = TR - TK = 60";\pi = TR-VK=120;given;p = 30, Q* = 10, TK = 240;step;TR = 30 × 10 = 300;step;Winst = TR - TK = 300 - 240 = 60;step;GK = 240/10 = 24 < p = 30 → positieve winst;result;"Winst = 60; p > GK bevestigt winst per eenheid";;
2;A;KT winstbepaling: p vs GK → winst of verlies;p = 20, GVK = 18, GK = 25, FK = 70. Produceert dit bedrijf op korte termijn? Wat is het verlies?;Vergelijk p met GVK;p = 20 > GVK = 18 → dekt variabele kosten → produceert;p > GVK: produceer;Vergelijk p met GK;p = 20 < GK = 25 → verlies per eenheid;p < GK: verlies;Bereken verlies;"(p-GK) × Q < 0; verlies < FK";Verlies < FK = 70;Stop productie want verlies;"Als p > GVK, beste keuze is doorgaan; stilleggen kost meer (FK gaat door)";;Stop want p < GK;p < GK is verlies op totale kosten, maar p > GVK betekent: produceer om FK gedeeltelijk te dekken;;Verlies = FK;"Verlies = FK alleen als p = GVK; hier is p > GVK dus verlies < FK";;Wanneer stopt een bedrijf in KT?;Wat is de minimumprijs voor productie op KT?;Hoe groot is het verlies als het bedrijf produceert?;Wat zijn de vaste kosten?;Wat is de lange-termijn afsluiting?;1;p < GK → stop productie;"p < GK geeft verlies maar is niet de stopcriterium; het criterium is p vs. GVK";;given;p = 20, GVK = 18, GK = 25, FK = 70;step;p > GVK (20 > 18) → bedrijf produceert op KT;step;p < GK (20 < 25) → verlies per eenheid = 5;step;Verlies < FK: produceren is beter dan stilleggen;result;"Beslissing: produceer; verlies = (25-20)×Q < FK";;
3;A;KT winstbepaling: p vs GK → winst of verlies;Volkomen concurrentie. MK = 2Q + 10. Marktprijs p = 30. Bepaal Q* en winst als TK = Q² + 10Q + 50.;Stel MK = p;2Q + 10 = 30 → 2Q = 20 → Q* = 10;2Q+10=30 \Rightarrow Q^*=10;Bereken TR en TK;"TR = 30×10 = 300; TK = 100 + 100 + 50 = 250";TR=300, TK=250;Bereken winst;Winst = 300 - 250 = 50;\pi = 50;MK = p niet van toepassing;In VC is de winstmax altijd MK = p (prijsnemer);;Q* via MK = 0;MK = 0 geeft geen winstmaximum voor een bedrijf in VC;;Winst = MK × Q;MK × Q is variabele kosten, niet de winst;;Wat is de optimale productiehoeveelheid in VC?;Hoe bereken je de winst?;Wat zegt de winst over de marktsituatie op LT?;Wat is de prijs-elasticiteit van de vraag?;Wat zijn de marginale opbrengsten in VC?;3;Winst = p × Q (omzet = winst);"Winst = TR - TK = 300 - 250 = 50; niet TR alleen";\pi = 300;given;MK = 2Q + 10, p = 30, TK = Q² + 10Q + 50;step;MK = p: 2Q + 10 = 30 → Q* = 10;step;"TR = 300; TK = 100 + 100 + 50 = 250";step;Winst = TR - TK = 50;result;Q* = 10, winst = 50 (op KT);;
4;B;LT evenwicht VC: toetreding → winst = 0 → p = min GK;Sector in VC met positieve winst. Wat zijn de LT-aanpassingen en wat is het LT-evenwicht?;Positieve winst trekt toe;Positieve winst → nieuwe bedrijven treden toe;\pi > 0 \Rightarrow toetreding;Aanbod neemt toe;Meer aanbieders → totaal aanbod stijgt → prijs daalt;S\uparrow \Rightarrow p\downarrow;LT-evenwicht: p = min GK;Toetreding stopt als winst = 0: p = GK_min;p = GK_{min}, \pi = 0;Winst lokt hogere prijzen;Hogere winst leidt tot meer concurrentie, niet hogere prijzen;;LT-evenwicht: p = MK;LT-evenwicht: p = MK én p = GK (dus ook p = GK_min = MK);;Bestaande bedrijven produceren meer;"KT: bestaand bedrijf kiest MK=p; LT: nieuwe toetreders drukken prijs";;Wat gebeurt er bij positieve winst in VC op LT?;Hoe verandert het aanbod door toetreding?;Wat is het LT-evenwicht in VC?;Wat is de drempelprijs?;Hoe beïnvloedt een subsidie het LT-evenwicht?;3;LT-evenwicht: p = MK (niet p = GK);"In LT-evenwicht geldt p = MK EN p = GK = GK_min; beide condities gelden";p = MK;given;VC-sector: positieve winst op korte termijn;step;Toetreding: nieuwe bedrijven komen de markt op;step;Marktaanbod stijgt → evenwichtsprijs daalt;step;Toetreding stopt als winst = 0;result;LT-evenwicht: p = GK_min, winst = 0;;
5;B;LT evenwicht VC: toetreding → winst = 0 → p = min GK;GK-functie: GK = Q + 10 + 100/Q. Bepaal de minimale GK en de LT-evenwichtsprijs.;Minimeer GK: dGK/dQ = 0;dGK/dQ = 1 - 100/Q² = 0 → Q² = 100 → Q = 10;Q=10;Bereken GK_min;GK(10) = 10 + 10 + 10 = 30;GK_{min} = 30;LT-prijs = GK_min;p_LT = 30 (bij winst = 0);p_{LT} = 30;LT-prijs is de huidige marktprijs;"Huidige prijs kan tijdelijk zijn; LT is p = GK_min";;GK minimaal bij Q = 0;"GK(0) = ∞ door 100/Q; minimum is bij Q = 10";;LT-prijs = MK;LT-evenwicht: p = MK EN p = GK_min (niet alleen MK);;Hoe vind je de minimale GK?;Hoe bepaal je de LT-evenwichtsprijs?;Wat is de optimale bedrijfsgrootte?;Wat zijn de vaste kosten?;Hoe verandert GK bij schaalvoordelen?;1;Minimeer GK via GK = MK;"GK = MK geeft ook het minimum; maar dGK/dQ = 0 is de directe methode";;given;GK = Q + 10 + 100/Q;step;dGK/dQ = 0: 1 - 100/Q² = 0 → Q = 10;step;GK_min = 10 + 10 + 10 = 30;step;LT-evenwicht: p = GK_min = 30;result;"LT-evenwichtsprijs = 30; optimale bedrijfsgrootte Q = 10";;
6;B;LT evenwicht VC: toetreding → winst = 0 → p = min GK;Huidige marktprijs p = 40. GK_min = 30 (bij Q = 15). Hoeveel bedrijven zijn er in LT als marktvraag bij p = 30 gelijk is aan Q_markt = 1500?;LT-evenwichtsprijs;p_LT = GK_min = 30 (winst = 0 bij p = 30);p_{LT} = 30;Marktvraag bij LT-prijs;Q_markt = 1500 bij p = 30;Q_{markt}=1500;Aantal bedrijven;n = Q_markt / Q_bedrijf = 1500 / 15 = 100;n = 1500/15 = 100;n = Q / p;"Prijs en hoeveelheid zijn niet deelbaar; n = totale Q / Q per bedrijf";;n berekenen bij huidige prijs p = 40;LT-evenwicht is bij p = GK_min = 30, niet p = 40;;Alle bedrijven in LT hebben verlies;LT-evenwicht: winst = 0, niet verlies;;Wat is de LT-evenwichtsprijs?;Hoe groot is de marktvraag bij LT-prijs?;Hoeveel bedrijven zijn er in LT?;Wat is de korte-termijn winst?;Hoe groot is het marktaandeel per bedrijf?;2;Gebruik huidige vraag (bij p=40);"Bij p = 40 is Q ≠ 1500; je moet de vraag bij de LT-evenwichtsprijs p = 30 gebruiken";;given;p_huidig = 40, GK_min = 30 bij Q = 15, Q_markt(p=30) = 1500;step;LT-prijs: p_LT = GK_min = 30;step;Marktvraag bij p = 30: Q_markt = 1500;step;n = Q_markt / Q_bedrijf = 1500 / 15 = 100;result;100 bedrijven in LT-evenwicht;;
7;C;Aanbodfunctie VC: MK = p → q(p) → Qa(p);Elk van de 50 bedrijven heeft MK = 3q + 5. Leid de individuele en de marktaanbodfunctie af.;Individueel aanbod via MK = p;3q + 5 = p → q = (p-5)/3;q = \frac{p-5}{3};Marktaanbod;Qa = 50 × q = 50(p-5)/3;Q_a = \frac{50(p-5)}{3};Marktvraag en evenwicht;Stel Qa = Qv om evenwicht te vinden;Q_a = Q_v;Marktaanbod = MK van 1 bedrijf;Marktaanbod is som van alle individuele aanboden;;q = 3p + 5;Fout omschrijven: uit MK=p volgt q = (p-5)/3, niet 3p+5;;Marktaanbod = 50 × MK;MK is een kostenfunctie, niet een aanbodcurve;;Hoe leid je individueel aanbod af van MK?;Hoe bereken je het marktaanbod?;Hoe gebruik je Qa en Qv voor evenwicht?;Wat zijn de vaste kosten per bedrijf?;Wat is de prijselasticiteit van aanbod?;2;Qa = q (niet vermenigvuldigen met n);"Marktaanbod = n × q_individueel = 50(p-5)/3; niet gewoon q van 1 bedrijf";Q_a = (p-5)/3;given;"50 bedrijven; elk MK = 3q + 5";step;MK = p: 3q + 5 = p → q = (p-5)/3;step;Marktaanbod: Qa = 50(p-5)/3;step;Stel Qa = Qv voor evenwicht;result;Qa = 50(p-5)/3 is de marktaanbodfunctie;;
8;C;Aanbodfunctie VC: MK = p → q(p) → Qa(p);MK = 4q + 8, 100 bedrijven. Marktvraag Qv = 1200 - 20p. Bepaal het marktevenwicht.;Individuele aanbodfunctie;4q + 8 = p → q = (p-8)/4;q=\frac{p-8}{4};Marktaanbodfunctie;Qa = 100(p-8)/4 = 25(p-8) = 25p - 200;Q_a = 25p-200;Evenwicht;25p - 200 = 1200 - 20p → 45p = 1400 → p* ≈ 31,1;p^* = 1400/45;Qa = 100 × MK;"MK is geen aanbodfunctie; herstel via MK = p → q(p)";;Individueel aanbod = marktaanbod;Marktaanbod = 100 × individueel aanbod;;Evenwicht bij Qa = 0;Qa = 0 geeft minimale prijs, niet het evenwicht;;Hoe leid je q(p) af van MK?;Hoe schaal je op naar marktaanbod?;Hoe bereken je p* uit Qa = Qv?;Wat is de productiehoeveelheid per bedrijf in evenwicht?;Wat verandert als er meer bedrijven toetreden?;1;q = 4p + 8 (niet omgezet);"q = 4p + 8 is geen aanbodfunctie; uit MK = p volgt q = (p-8)/4";q=4p+8;given;MK = 4q + 8, n = 100, Qv = 1200 - 20p;step;"q = (p-8)/4; Qa = 25p - 200";step;Evenwicht: 25p - 200 = 1200 - 20p;step;45p = 1400 → p* ≈ 31,1;result;Marktevenwicht: p* ≈ 31,1;;
9;C;Aanbodfunctie VC: MK = p → q(p) → Qa(p);MK = 2q + 6. Prijs stijgt van p = 10 naar p = 20. Hoeveel meer produceert een bedrijf?;q bij p = 10;2q + 6 = 10 → q = 2;q_1=2;q bij p = 20;2q + 6 = 20 → q = 7;q_2=7;Productiestijging;Δq = 7 - 2 = 5;\Delta q = 5;Δq = Δp;Δq is afhankelijk van de MK-functie, niet gelijk aan Δp;;q verdubbelt als p verdubbelt;Verband is lineair maar niet proportioneel door de constante term;;Bedrijf past productie niet aan;In VC past elk bedrijf productie aan via MK = p;;Hoe bepaal je q bij een gegeven prijs?;Hoe bereken je de productiestijging?;Wat zegt dit over de aanbodelasticiteit?;Wat is de nieuwe omzet?;Wat is de winst bij de nieuwe prijs?;2;q bij p=20 → q = 7 + 3 = 10 (vergissing);2q + 6 = 20 → 2q = 14 → q = 7, niet q = 10;q_2=10;given;"MK = 2q + 6; p stijgt van 10 naar 20";step;Bij p=10: 2q+6=10 → q=2;step;Bij p=20: 2q+6=20 → q=7;step;Δq = 7 - 2 = 5;result;Bij prijsstijging van 10 naar 20 produceert het bedrijf 5 eenheden meer;;
10;D;Grafische kenmerken VC: horizontale vraag → MO = p = MK;Leg uit waarom de vraagcurve voor één bedrijf in VC horizontaal is en teken de relatie tussen p, MO en MK.;Prijsnemer;Elk bedrijf in VC is prijsnemer: accepteert de marktprijs;;Horizontale vraagcurve;Individuele vraagcurve is horizontaal op de hoogte van p*;d: p = p^*;MO = p = MK in evenwicht;Winstmax: MK = MO = p (snijpunt MK-curve met horizontale d);MK = MO = p;Vraagcurve is dalend (als markt);"Marktdynamiek ziet dalende vraag; individueel bedrijf staat voor horizontale lijn";;MO > p voor een VC-bedrijf;"MO = p voor prijsnemer; MO > p bestaat niet in VC";;MK = 0 in VC-evenwicht;Winstmax is MK = p (prijs), niet MK = 0;;Waarom is een VC-bedrijf prijsnemer?;Hoe ziet de individuele vraagcurve eruit?;Wat is de winstmaximalisatieregel in VC?;Hoe groot is het marktaandeel per bedrijf?;Wat is de marktelasticiteit?;3;Winstmax: MK = MO = 0;"MK = 0 is TR-maximalisatie, niet winstmaximalisatie; winstmax is MK = p = MO";MK=MO=0;given;VC: veel aanbieders, homogeen product, geen marktmacht;step;Bedrijf = prijsnemer: marktprijs p* als gegeven;step;Individuele vraagcurve: horizontaal op p*;step;"MO = p (prijsnemer); winstmax: MK = MO = p";result;In evenwicht: MK = MO = p*;;
11;D;Grafische kenmerken VC: horizontale vraag → MO = p = MK;Wat zijn de condities voor productie en afsluiting van een VC-bedrijf op korte en lange termijn?;KT productiecriterium;Produceer als p ≥ GVK (variabele kosten gedekt);p \geq GVK;KT afsluitcriterium;Sluit als p < GVK_min (variabele kosten niet meer gedekt);p < GVK_{min};LT-uittreding;Verliezen op LT → uittreding → prijs stijgt terug naar p = GK_min;p = GK_{min};KT: sluit als p < GK;"GK omvat FK die toch doorgaan; criterium is p < GVK voor KT-afsluiting";;LT: produceer altijd als p > 0;"Op LT heeft het bedrijf de keuze alle kosten te dekken; p < GK leidt tot uittreding";;KT en LT: zelfde criterium;"Op KT zijn FK sunk; op LT zijn alle kosten variabel";;Wanneer stopt een bedrijf op korte termijn?;Wanneer treedt een bedrijf uit op lange termijn?;Wat is het verschil tussen KT en LT productiecriterium?;Wat is het breakeven punt?;Hoe beïnvloedt een subsidie de afsluiting?;1;KT: produceer als p > GK;"KT-criterium is p ≥ GVK_min; p ≥ GK is het LT-breakeven criterium, niet het KT-productiecriterium";;given;Onderscheid: korte termijn (FK sunk) vs. lange termijn (alle kosten variabel);step;KT productie: p ≥ GVK_min (variabele kosten gedekt);step;KT afsluiting: p < GVK_min (verlies groter dan FK);step;"LT: p < GK_min → uittreding; p > GK_min → toetreding";result;LT-evenwicht altijd bij p = GK_min, winst = 0;;
12;D;Grafische kenmerken VC: horizontale vraag → MO = p = MK;Schets in woorden hoe de aanbodfunctie van de markt is opgebouwd uit individuele MK-curven in VC.;MK = aanbodfunctie individueel;Boven GVK_min: MK-curve is de individuele aanbodcurve;;Horizontaal optellen;Marktaanbod = horizontale som van alle individuele aanboden;Q_a = \sum_i q_i;Eigenschappen marktaanbod;"Meer bedrijven → vlakkere marktaanbodfunctie; LT vlakker dan KT";;Verticaal optellen;"Kosten worden verticaal opgeteld; hoeveelheden worden horizontaal opgeteld";;Marktaanbod = gemiddelde van MK;Marktaanbod is de som, niet het gemiddelde van individuele aanboden;;MK-curve stijgend = prijsdaling;Stijgende MK betekent stijgend aanbod bij hogere prijs, niet prijsdaling;;Welk deel van de MK-curve is de aanbodfunctie?;Hoe stel je het marktaanbod samen?;Hoe verandert het marktaanbod als meer bedrijven toetreden?;Wat is de prijselasticiteit van het marktaanbod?;Hoe beïnvloedt technologie de aanbodcurve?;2;Marktaanbod = verticale som van MK;"Hoeveelheden worden horizontaal opgeteld (zelfde prijs, som van Q); verticaal optellen geldt voor kosten";;given;n bedrijven elk met MK-curve boven GVK_min;step;Elk bedrijf biedt aan op basis van MK = p;step;Horizontaal optellen: Qa = q₁ + q₂ + … + qₙ;step;Meer bedrijven → marktaanbodcurve verschuift naar rechts;result;Marktaanbodfunctie = horizontale som van individuele MK-curven boven GVK_min;;
